FRA Point;FRA Point Latitude;FRA Point Longitude
HUMOR;N473053;E0255235
HUMZA;N430747;E0174950
HURTE;N510920;E0203612
IBEKA;N500140;E0185630
IBENI;N440051;E0135518
IBENI;N440051;E0135518
IBENI;N440051;E0135518
IBGIR;N462639;E0263359
IBINO;N533346;E0195850
IBINU;N455505;E0231644
IBINU;N455505;E0231644
IBISI;N425729;E0214102
IBLAX;N415859;E0281709
IBLIZ;N481844;E0204629
IBNAN;N450726;E0100500
IBOPI;N554347;E0203908
IBREP;N394140;E0080635
IBRID;N432840;E0112503
IBROS;N414741;E0100253
IBSUT;N551811;E0223852
IBTOK;N445443;E0103859
IBUPU;N451029;E0104436
IDABO;N435952;E0210146
IDARU;N443825;E0265854
IDARU;N443825;E0265854
IDASI;N442813;E0170619
IDEPA;N404342;E0093449
IDEXU;N524150;E0170210
IDOMO;N434816;E0244850
IDONA;N435906;E0092551
IDREK;N453846;E0104910
IKAMU;N552040;E0243813
ILB;N453356;E0141015
ILHAK;N465807;E0192226
INBID;N464737;E0261234
INBOL;N432815;E0234814
INBOV;N552618;E0232436
INDAX;N372947;E0151721
INDIG;N515948;E0180000
INDUM;N405847;E0085105
INFUX;N501320;E0232859
INGAB;N400058;E0154827
